city_rank,phase,city_id,prefecture_region,articles_count,latest_date,genre_count,days_since_update,implementation_status,next_action
1,Phase 5-D,osaki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
2,Phase 5-D,tsuchiura,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
3,Phase 5-D,ota_gunma,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
4,Phase 5-D,beppu,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
5,Phase 5-D,tsuruoka,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
6,Phase 5-D,hitachi,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
7,Phase 5-D,hitachinaka,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
8,Phase 5-D,okinawa_pref,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
9,Phase 5-D,ogaki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
10,Phase 5-D,ryugasaki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
11,Phase 5-D,takaoka,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
12,Phase 5-D,tachikawa,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
13,Phase 5-D,ehime_pref,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
14,Phase 5-D,tochigi_city,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
15,Phase 5-D,suzuka,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
16,Phase 5-D,hanamaki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
17,Phase 5-D,sakata,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
18,Phase 5-D,shinjuku,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
19,Phase 5-D,shimonoseki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
20,Phase 5-D,ninomiya,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
21,Phase 5-D,yokkaichi,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
22,Phase 5-D,kumamoto_pref,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
23,Phase 5-D,yatsushiro,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
24,Phase 5-D,kuwana,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
25,Phase 5-D,konan_aichi,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
26,Phase 5-D,kitakami,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
27,Phase 5-D,kiryu,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
28,Phase 5-D,kashima,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
29,Phase 5-D,kitanagoya,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
30,Phase 5-D,kirishima,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
31,Phase 5-D,nagasaki_pref,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
32,Phase 5-D,ishinomaki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
33,Phase 5-D,nakatsu,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
34,Phase 5-D,iida,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
35,Phase 5-D,miyakonojo,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
36,Phase 5-D,mitaka,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
37,Phase 5-D,marugame,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
38,Phase 5-D,ama,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
39,Phase 5-D,iwaki,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
40,Phase 5-D,adachi,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
41,Phase 5-D,yamatokoriyama,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
42,Phase 5-D,miyashiro,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
43,Phase 5-D,yamatotakada,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
44,Phase 5-D,miyazaki_pref,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
45,Phase 5-D,mizuho,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
46,Phase 5-D,miyoshi_machi,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
47,Phase 5-D,miyoshi,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
48,Phase 5-D,miyagi_pref,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
49,Phase 5-D,minoh,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
50,Phase 5-D,minato_ku,[Region TBD],2-3,2026-06-08,0-1,11,Template-based,Implement real data enrichment
