city_id,市名,都道府県
sapporo,札幌市,北海道
hakodate,函館市,北海道
asahikawa,旭川市,北海道
tomakomai,苫小牧市,北海道
muroran,室蘭市,北海道
otaru,小樽市,北海道
tsukuba,釧路市,北海道
kushiro,釧路市,北海道
tomakomai_2,根室市,北海道
chitose,千歳市,北海道
iwamizawa,岩見沢市,北海道
obihiro,帯広市,北海道
asahikawa_2,旭川市,北海道
abashiri,網走市,北海道
rumoi,留萌市,北海道
mikasa,美笹市,北海道
yubari,夕張市,北海道
soyu,十勝スポーツ医療総合センター市,北海道
aomori,青森市,青森県
hachinohe,八戸市,青森県
hirosaki,弘前市,青森県
morioka,盛岡市,岩手県
sendai,仙台市,宮城県
asahikawa_3,旭川市,北海道
morioka_2,盛岡市,岩手県
kuji,久慈市,岩手県
kamaishi,釜石市,岩手県
rikuzentakata,陸前高田市,岩手県
ofunato,大船渡市,岩手県
hachimantai,八幡平市,岩手県
oshu,奥州市,岩手県
yono,遠野市,岩手県
ishinomaki,石ノ巻市,宮城県
kesennuma,気仙沼市,宮城県
natori,名取市,宮城県
kuhokugashi,栗原市,宮城県
yonezawa,米沢市,山形県
yamagata,山形市,山形県
akayu,赤湯町,山形県
tsuruoka,鶴岡市,山形県
sakata,酒田市,山形県
shinjo,新庄市,山形県
fukushima,福島市,福島県
koriyama,郡山市,福島県
aizuwakamatsu,会津若松市,福島県
iwaki,いわき市,福島県
mito,水戸市,茨城県
hitachi,日立市,茨城県
tsukuba,つくば市,茨城県
ushiku,牛久市,茨城県
kasama,笠間市,茨城県
omitama,小美玉市,茨城県
inashiki,稲敷市,茨城県
kasumigaura,霞ヶ浦市,茨城県
ryugasaki,龍ケ崎市,茨城県
hitachinaka,日立市,茨城県
tsuchiura,土浦市,茨城県
sammu,山武市,茨城県
toride,取手市,茨城県
joso,常総市,茨城県
nakamatsu,中松市,茨城県
takahama,高萩市,茨城県
katori,香取市,茨城県
minamibouso,南房総市,茨城県
urayasu,浦安市,千葉県
funabashi,船橋市,千葉県
matsudo,松戸市,千葉県
nagareyama,流山市,千葉県
chiba,千葉市,千葉県
kisarazu,木更津市,千葉県
ichihara,市原市,千葉県
ichikawa,市川市,千葉県
kimitsu,君津市,千葉県
sakura,佐倉市,千葉県
narita,成田市,千葉県
yoshii,四街道市,千葉県
kazo,香取市,千葉県
yotsukaido,八千代市,千葉県
yashinohara,野田市,千葉県
inage,稲毛市,千葉県
sobu,総武市,千葉県
katsuura,勝浦市,千葉県
minamisouma,南相馬市,千葉県
notchi,野田市,千葉県
tateba,館山市,千葉県
kamogawa,鴨川市,千葉県
asahi,旭市,千葉県
ritto,茨城県,千葉県
hakone,箱根町,神奈川県
odawara,小田原市,神奈川県
yokohama,横浜市,神奈川県
kawasaki,川崎市,神奈川県
yokosuka,横須賀市,神奈川県
hiratsuka,平塚市,神奈川県
sagamihara,相模原市,神奈川県
atsugi,厚木市,神奈川県
isehara,伊勢原市,神奈川県
minamiashigara,南足柄市,神奈川県
yamato,大和市,神奈川県
ebina,海老名市,神奈川県
kamakura,鎌倉市,神奈川県
zushi,逗子市,神奈川県
fujisawa,藤沢市,神奈川県
chigasaki,茅ヶ崎市,神奈川県
zama,座間市,神奈川県
ayase,綾瀬市,神奈川県
hayama,葉山町,神奈川県
manazuru,真鶴町,神奈川県
yugawara,湯河原町,神奈川県
oiso,大磯町,神奈川県
shinagawa,品川区,東京都
minato,港区,東京都
chiyoda,千代田区,東京都
chuo,中央区,東京都
shinjuku,新宿区,東京都
toshima,豊島区,東京都
bunkyo,文京区,東京都
taito,台東区,東京都
sumida,墨田区,東京都
koto,江東区,東京都
shibuya,渋谷区,東京都
meguro,目黒区,東京都
setagaya,世田谷区,東京都
nakano,中野区,東京都
suginami,杉並区,東京都
shinjuku_2,新宿区,東京都
kichijoji,吉祥寺,東京都
kokubunji,国分寺市,東京都
kodaira,小平市,東京都
hino,日野市,東京都
fuchu,府中市,東京都
chofu,調布市,東京都
koganei,小金井市,東京都
mitaka,三鷹市,東京都
musashino,武蔵野市,東京都
kunitachi,国立市,東京都
tacikawa,立川市,東京都
hachioji,八王子市,東京都
tachikawa,立川市,東京都
akishima,昭島市,東京都
fussa,福生市,東京都
akiruno,あきる野市,東京都
ome,青梅市,東京都
hamura,羽村市,東京都
okutama,奥多摩町,東京都
hinode,日の出町,東京都
hinohara,檜原村,東京都
mizuho,水処理センター市,東京都
inagi,稲城市,東京都
koganei_2,小金井市,東京都
utsunomiya,宇都宮市,栃木県
kanuma,鹿沼市,栃木県
nikko,日光市,栃木県
sano,佐野市,栃木県
gyoda,行田市,栃木県
tochigi,栃木市,栃木県
nasushiobara,那須塩原市,栃木県
nasukarasuyama,那須烏山市,栃木県
kuroiso,黒磯市,栃木県
ashikaga,足利市,栃木県
maebashi,前橋市,群馬県
takasaki,高崎市,群馬県
kiryuu,桐生市,群馬県
isesaki,伊勢崎市,群馬県
ota,太田市,群馬県
tatebayashi,館林市,群馬県
annouka,安中市,群馬県
shibukawa,渋川市,群馬県
ageo,上尾市,埼玉県
kawagoe,川越市,埼玉県
kawaguchi,川口市,埼玉県
saitama,さいたま市,埼玉県
hasuda,蓮田市,埼玉県
kawanishi,川西市,埼玉県
kitamoto,北本市,埼玉県
yono,与野市,埼玉県
fukaya,深谷市,埼玉県
ashikaga_2,足利市,埼玉県
kasukabe,春日部市,埼玉県
iruma,入間市,埼玉県
kuki,久喜市,埼玉県
sayama,狭山市,埼玉県
asaka,朝霞市,埼玉県
akishima_2,昭島市,埼玉県
fujimi,富士見市,埼玉県
higashimatsuyama,東松山市,埼玉県
tsurugashima,鶴ヶ島市,埼玉県
sakado,坂戸市,埼玉県
shiraoka,白岡市,埼玉県
oyama,小山市,埼玉県
midori,水色市,埼玉県
nagareyama_2,流山市,埼玉県
sanno,三野市,埼玉県
koshigaya,越谷市,埼玉県
honjo,本庄市,埼玉県
kazo_2,加須市,埼玉県
satte,幸手市,埼玉県
hachioji_2,八潮市,埼玉県
chiba_city,千葉市,千葉県
nobooka,野田市,千葉県
katamori,片町市,千葉県
shinshiro,新庄市,愛知県
nagoya,名古屋市,愛知県
toyohashi,豊橋市,愛知県
okazaki,岡崎市,愛知県
ichinomiya,一宮市,愛知県
anjo,安城市,愛知県
kariya,刈谷市,愛知県
kasugai,春日井市,愛知県
komaki,小松島市,愛知県
oharu,大治市,愛知県
kanie,蟹江町,愛知県
aisai,尾張市,愛知県
inuyama,犬山市,愛知県
takaoka,高岡市,愛知県
aichi,愛知市,愛知県
takahama,高浜市,愛知県
tahara,田原市,愛知県
tokoname,常滑市,愛知県
gamagori,蒲郡市,愛知県
isshiki,一食町,愛知県
toyokawa,豊川市,愛知県
chita,知多市,愛知県
minamichita,南知多町,愛知県
taketoyo,武豊町,愛知県
toyoake,豊明市,愛知県
inazawa,稲沢市,愛知県
handa,半田市,愛知県
hekinan,碧南市,愛知県
tokai,東海市,愛知県
toyonaka,豊中市,愛知県
aisho,愛荘町,滋賀県
komono,近江町,滋賀県
otsu,大津市,滋賀県
hikone,彦根市,滋賀県
nagahama,長浜市,滋賀県
omihachiman,近江八幡市,滋賀県
