"city_id","市名","都道府県","実装状態"
"inabe",,,"未実装"
"kameyama",,,"未実装"
"ise",,,"未実装"
"iga",,,"未実装"
"nabari",,,"未実装"
"yokkaichi",,,"実装済"
"owase",,,"未実装"
"shima",,,"未実装"
"matsusaka",,,"未実装"
"kuwana",,,"実装済"
"tsu",,,"実装済"
"kumano",,,"未実装"
"suzuka",,,"実装済"
"toba",,,"未実装"
"kameoka",,,"実装済"
"kyotango",,,"実装済"
"kyotanabe",,,"実装済"
"kyoto",,,"実装済"
"yawata",,,"実装済"
"nantan",,,"実装済"
"muko",,,"実装済"
"joyo",,,"実装済"
"uji",,,"実装済"
"miyazu",,,"実装済"
"kizugawa",,,"実装済"
"fukuchiyama",,,"実装済"
"ayabe",,,"実装済"
"maizuru",,,"実装済"
"nagaokakyo",,,"実装済"
"imari",,,"未実装"
"saga",,,"実装済"
"karatsu",,,"未実装"
"ureshino",,,"未実装"
"ogi",,,"未実装"
"takeo",,,"未実装"
"kashima",,,"実装済"
"tatsuno",,,"実装済"
"miki",,,"実装済"
"sanda",,,"実装済"
"tamba",,,"実装済"
"itami",,,"実装済"
"kakogawa",,,"実装済"
"kato",,,"実装済"
"kasai",,,"実装済"
"minamiawaji",,,"実装済"
"himeji",,,"実装済"
"shiso",,,"実装済"
"takarazuka",,,"実装済"
"ono_hyogo",,,"実装済"
"amagasaki",,,"実装済"
"kawanishi",,,"実装済"
"shinonsen",,,"実装済"
"akashi",,,"実装済"
"asago",,,"実装済"
"sumoto",,,"実装済"
"awaji",,,"実装済"
"aioi",,,"実装済"
"kobe",,,"実装済"
"ashiya",,,"実装済"
"nishinomiya",,,"実装済"
"nishiwaki",,,"実装済"
"ako",,,"実装済"
"takasago",,,"実装済"
"hakodate",,,"実装済"
"kitahiroshima",,,"未実装"
"hokuto",,,"未実装"
"chitose",,,"実装済"
"muroran",,,"実装済"
"iwamizawa",,,"実装済"
"obihiro",,,"実装済"
"eniwa",,,"未実装"
"asahikawa",,,"実装済"
"sapporo",,,"実装済"
"takikawa",,,"未実装"
"noboribetsu",,,"未実装"
"sunagawa",,,"未実装"
"tomakomai",,,"実装済"
"kushiro",,,"実装済"
"isumi",,,"未実装"
"sakura",,,"実装済"
"yachiyo",,,"実装済"
"katsuura",,,"未実装"
"sosa",,,"未実装"
"chiba",,,"実装済"
"minamibouso",,,"実装済"
"kimitsu",,,"未実装"
"futtsu",,,"未実装"
"tomisato",,,"未実装"
"sammu",,,"実装済"
"ichihara",,,"実装済"
