city_id,市名,都道府県,実装状態
sapporo,札幌市,北海道,実装済
asahikawa,旭川市,北海道,実装済
hakodate,函館市,北海道,実装済
tomakomai,苫小牧市,北海道,実装済
kushiro,釧路市,北海道,実装済
obihiro,帯広市,北海道,実装済
iwamizawa,岩見沢市,北海道,実装済
muroran,室蘭市,北海道,実装済
chitose,千歳市,北海道,実装済
takikawa,滝川市,北海道,未実装
sunagawa,砂川市,北海道,未実装
eniwa,恵庭市,北海道,未実装
hokuto,北斗市,北海道,未実装
noboribetsu,登別市,北海道,未実装
kitahiroshima,北広島市,北海道,未実装
yubari,夕張市,北海道,未実装
ashibetsu,芦別市,北海道,未実装
akabira,赤平市,北海道,未実装
rumoi,留萌市,北海道,未実装
minamikayabe,南樺戸郡,北海道,未実装
aomori,青森市,青森県,実装済
hirosaki,弘前市,青森県,未実装
hachinohe,八戸市,青森県,実装済
kuroishi,黒石市,青森県,未実装
goshogawara,五所川原市,青森県,未実装
tsugaru,つがる市,青森県,未実装
hirakawa,平川市,青森県,未実装
sotogahama,外ヶ浜町,青森県,未実装
morioka,盛岡市,岩手県,実装済
miyako,宮古市,岩手県,未実装
ofunato,大船渡市,岩手県,未実装
hanamaki,花巻市,岩手県,実装済
kitakami,北上市,岩手県,実装済
kuji,久慈市,岩手県,未実装
tono,遠野市,岩手県,未実装
ichinoseki,一関市,岩手県,未実装
rikuzentakada,陸前高田市,岩手県,未実装
kamaishi,釜石市,岩手県,実装済
hachimantai,八幡平市,岩手県,実装済
oshu,奥州市,岩手県,未実装
takizawa,滝沢市,岩手県,実装済
sendai,仙台市,宮城県,実装済
ishinomaki,石巻市,宮城県,実装済
shiogama,塩竈市,宮城県,未実装
kesennuma,気仙沼市,宮城県,実装済
shiroishi,白石市,宮城県,未実装
natori,名取市,宮城県,未実装
kakuda,角田市,宮城県,未実装
tagajo,多賀城市,宮城県,未実装
iwanuma,岩沼市,宮城県,未実装
tome,登米市,宮城県,未実装
kurihara,栗原市,宮城県,未実装
higashimatsushima,東松島市,宮城県,未実装
osaki,大崎市,宮城県,実装済
akita,秋田市,秋田県,実装済
noshiro,能代市,秋田県,未実装
yokote,横手市,秋田県,未実装
odate,大館市,秋田県,未実装
oga,男鹿市,秋田県,未実装
yuzawa,湯沢市,秋田県,未実装
kazuno,鹿角市,秋田県,未実装
yurihonjo,由利本荘市,秋田県,未実装
katashio,潟上市,秋田県,未実装
daisen,大仙市,秋田県,未実装
kitaakita,北秋田市,秋田県,未実装
nikaho,にかほ市,秋田県,未実装
senboku,仙北市,秋田県,未実装
yamagata,山形市,山形県,実装済
yonezawa,米沢市,山形県,実装済
tsuruoka,鶴岡市,山形県,実装済
sakata,酒田市,山形県,実装済
shinjo,新庄市,山形県,未実装
sagae,寒河江市,山形県,未実装
kaminoyama,上山市,山形県,未実装
murayama,村山市,山形県,未実装
nagai,長井市,山形県,未実装
tendo,天童市,山形県,未実装
higashine,東根市,山形県,未実装
obanazawa,尾花沢市,山形県,未実装
nanyo,南陽市,山形県,未実装
fukushima,福島市,福島県,実装済
aizuwakamatsu,会津若松市,福島県,実装済
koriyama,郡山市,福島県,実装済
iwaki,いわき市,福島県,実装済
shirakawa,白河市,福島県,未実装
sukagawa,須賀川市,福島県,未実装
kitakata,喜多方市,福島県,未実装
soma,相馬市,福島県,未実装
nihommatsu,二本松市,福島県,未実装
tamura,田村市,福島県,未実装
minamisoma,南相馬市,福島県,未実装
fukushima_date,伊達市,福島県,未実装
motomiya,本宮市,福島県,未実装
mito,水戸市,茨城県,実装済
hitachi,日立市,茨城県,実装済
tsuchiura,土浦市,茨城県,実装済
koga,古河市,茨城県,未実装
ishioka,石岡市,茨城県,未実装
yuki,結城市,茨城県,未実装
ryugasaki,龍ケ崎市,茨城県,実装済
shimotsuma,下妻市,茨城県,未実装
joso,常総市,茨城県,実装済
hitachi_omiya,常陸大宮市,茨城県,未実装
naka,那珂市,茨城県,未実装
chikusei,筑西市,茨城県,未実装
bando,坂東市,茨城県,未実装
inashiki,稲敷市,茨城県,実装済
hokota,鉾田市,茨城県,未実装
tsukuba,つくば市,茨城県,実装済
hitachinaka,ひたちなか市,茨城県,実装済
tsukubamirai,つくばみらい市,茨城県,実装済
utsunomiya,宇都宮市,栃木県,実装済
ashikaga,足利市,栃木県,実装済
tochigi_city,栃木市,栃木県,実装済
sano,佐野市,栃木県,実装済
kanuma,鹿沼市,栃木県,実装済
nikko,日光市,栃木県,実装済
oyama,小山市,栃木県,実装済
moka,真岡市,栃木県,未実装
otawara,大田原市,栃木県,未実装
yaitа,矢板市,栃木県,未実装
nasushiobara,那須塩原市,栃木県,実装済
sakura,さくら市,栃木県,実装済
nasukarasuyama,那須烏山市,栃木県,実装済
shimono,下野市,栃木県,未実装
maebashi,前橋市,群馬県,実装済
takasaki,高崎市,群馬県,実装済
kiryu,桐生市,群馬県,実装済
isesaki,伊勢崎市,群馬県,実装済
ota_gunma,太田市,群馬県,実装済
numata,沼田市,群馬県,未実装
tatebayashi,館林市,群馬県,実装済
shibukawa,渋川市,群馬県,実装済
fujioka,藤岡市,群馬県,未実装
tomioka,富岡市,群馬県,未実装
annaka,安中市,群馬県,実装済
midori,みどり市,群馬県,未実装
saitama,さいたま市,埼玉県,実装済
kawagoe,川越市,埼玉県,実装済
kumagaya,熊谷市,埼玉県,実装済
kawaguchi,川口市,埼玉県,実装済
gyoda,行田市,埼玉県,実装済
chichibu,秩父市,埼玉県,実装済
tokorozawa,所沢市,埼玉県,実装済
hanno,飯能市,埼玉県,実装済
kazo,加須市,埼玉県,実装済
honjo,本庄市,埼玉県,実装済
higashimatsuyama,東松山市,埼玉県,実装済
kasukabe,春日部市,埼玉県,実装済
sayama,狭山市,埼玉県,実装済
hanyu,羽生市,埼玉県,実装済
konosu,鴻巣市,埼玉県,実装済
fukaya,深谷市,埼玉県,実装済
ageo,上尾市,埼玉県,実装済
soka,草加市,埼玉県,実装済
koshigaya,越谷市,埼玉県,実装済
warabi,蕨市,埼玉県,実装済
toda,戸田市,埼玉県,実装済
iruma,入間市,埼玉県,実装済
asaka,朝霞市,埼玉県,実装済
shiki,志木市,埼玉県,実装済
wako,和光市,埼玉県,実装済
niiza,新座市,埼玉県,実装済
okegawa,桶川市,埼玉県,実装済
kitamoto,北本市,埼玉県,実装済
yashio,八潮市,埼玉県,実装済
fujimi,富士見市,埼玉県,実装済
misato,三郷市,埼玉県,実装済
hasuda,蓮田市,埼玉県,実装済
sakado,坂戸市,埼玉県,実装済
satte,幸手市,埼玉県,実装済
tsurugashima,鶴ヶ島市,埼玉県,実装済
hidaka,日高市,埼玉県,実装済
yoshikawa,吉川市,埼玉県,実装済
fujimino,ふじみ野市,埼玉県,実装済
shiraoka,白岡市,埼玉県,実装済
chiba,千葉市,千葉県,実装済
choshi,銚子市,千葉県,未実装
ichikawa,市川市,千葉県,実装済
funabashi,船橋市,千葉県,実装済
tateyama,館山市,千葉県,実装済
kisarazu,木更津市,千葉県,実装済
matsudo,松戸市,千葉県,実装済
noda,野田市,千葉県,実装済
mobara,茂原市,千葉県,未実装
narita,成田市,千葉県,実装済
sakura,佐倉市,千葉県,実装済
togane,東金市,千葉県,未実装
asahi,旭市,千葉県,未実装
narashino,習志野市,千葉県,未実装
kashiwa,柏市,千葉県,実装済
katsuura,勝浦市,千葉県,未実装
ichihara,市原市,千葉県,実装済
nagareyama,流山市,千葉県,実装済
yachiyo,八千代市,千葉県,実装済
abiko,我孫子市,千葉県,未実装
kamogawa,鴨川市,千葉県,未実装
tomisato,富里市,千葉県,未実装
katori,香取市,千葉県,実装済
sammu,山武市,千葉県,実装済
isumi,いすみ市,千葉県,未実装
futtsu,富津市,千葉県,未実装
sodegaura,袖ケ浦市,千葉県,未実装
kimitsu,君津市,千葉県,未実装
minamibouso,南房総市,千葉県,実装済
sosa,匝瑳市,千葉県,未実装
