"city_id","articles_count","latest_date","is_phase5bc","genre_count","genres"
"adachi","2","2026-06-08","No","1","solar"
"ageo","14","2026-06-09","No","2","electric_vehicle|solar"
"agui","3","2026-06-08","No","0",""
"aichi_pref","16","2026-06-08","No","0",""
"aioi","5","2026-06-16","Yes","1","solar"
"aisai","3","2026-06-08","No","0",""
"aisho","3","2026-06-08","No","0",""
"aizuwakamatsu","12","2026-06-10","No","2","electric_vehicle|solar"
"akashi","14","2026-06-10","No","2","electric_vehicle|solar"
"akiruno","4","2026-06-08","No","0",""
"akishima","3","2026-06-08","No","0",""
"akita","14","2026-06-11","No","2","electric_vehicle|solar"
"akita_pref","3","2026-06-08","No","0",""
"aki_takata","10","2026-06-15","Yes","2","electric_vehicle|solar"
"ako","4","2026-06-08","No","0",""
"ama","2","2026-06-08","No","0",""
"amagasaki","14","2026-06-10","No","2","electric_vehicle|solar"
"anjo","13","2026-06-13","Yes","2","electric_vehicle|solar"
"annaka","10","2026-06-08","No","2","electric_vehicle|solar"
"aomori","14","2026-06-11","No","2","electric_vehicle|solar"
"aomori_pref","3","2026-06-08","No","0",""
"arakawa","3","2026-06-08","No","0",""
"arashiyama","10","2026-06-15","Yes","2","electric_vehicle|solar"
"arida","3","2026-06-08","No","0",""
"asago","4","2026-06-08","No","0",""
"asahikawa","13","2026-06-09","No","2","electric_vehicle|solar"
"asaka","3","2026-06-08","No","0",""
"ashikaga","12","2026-06-08","No","2","electric_vehicle|solar"
"ashiya","3","2026-06-08","No","0",""
"atsugi","5","2026-06-16","Yes","0",""
"awaji","4","2026-06-08","No","0",""
"ayabe","5","2026-06-16","Yes","1","solar"
"ayase","3","2026-06-08","No","0",""
"beppu","2","2026-06-08","No","0",""
"bunkyo","3","2026-06-08","No","0",""
"chiba","5","2026-06-08","No","1","energy_saving"
"chiba_pref","4","2026-06-08","No","0",""
"chichibu","16","2026-06-10","No","2","electric_vehicle|solar"
"chigasaki","5","2026-06-16","Yes","1","solar"
"chihayaakasaka","4","2026-06-08","No","0",""
"chiryu","3","2026-06-08","No","0",""
"chita","4","2026-06-16","Yes","0",""
"chitose","10","2026-06-13","Yes","2","electric_vehicle|solar"
"chiyoda","3","2026-06-08","No","0",""
"chofu","3","2026-06-08","No","0",""
"chuo_ku","3","2026-06-08","No","0",""
"daito","3","2026-06-08","No","0",""
"ebina","5","2026-06-16","Yes","1","solar"
"echizen","10","2026-06-15","Yes","2","electric_vehicle|solar"
"edogawa","3","2026-06-08","No","0",""
"ehime_pref","2","2026-06-08","No","0",""
"fuchu","3","2026-06-08","No","0",""
"fuji","13","2026-06-10","No","2","electric_vehicle|solar"
"fujiidera","4","2026-06-08","No","0",""
"fujimi","3","2026-06-08","No","0",""
"fujimino","3","2026-06-08","No","0",""
"fujisawa","4","2026-06-08","No","0",""
"fukaya","15","2026-06-09","No","2","electric_vehicle|solar"
"fukuchiyama","5","2026-06-16","Yes","1","solar"
"fukui","14","2026-06-11","No","2","electric_vehicle|solar"
"fukui_pref","3","2026-06-08","No","0",""
"fukuoka","5","2026-06-08","No","1","energy_saving"
"fukuoka_pref","9","2026-06-08","No","0",""
"fukusaki","4","2026-06-08","No","0",""
"fukushima","14","2026-06-10","No","2","electric_vehicle|solar"
"fukushima_pref","6","2026-06-08","No","0",""
"fukuyama","12","2026-06-10","No","2","electric_vehicle|solar"
"funabashi","12","2026-06-08","No","2","electric_vehicle|solar"
"fuso","3","2026-06-08","No","0",""
"fussa","3","2026-06-08","No","0",""
"gamagori","4","2026-06-16","Yes","0",""
"gifu","13","2026-06-11","No","2","electric_vehicle|solar"
"gifu_pref","3","2026-06-08","No","0",""
"gobo","3","2026-06-08","No","0",""
"gojo","4","2026-06-08","No","0",""
"gose","3","2026-06-08","No","0",""
"gunma_pref","3","2026-06-08","No","0",""
"gyoda","14","2026-06-10","No","2","electric_vehicle|solar"
"habikino","4","2026-06-08","No","0",""
"hachimantai","10","2026-06-15","Yes","2","electric_vehicle|solar"
"hachinohe","12","2026-06-10","No","2","electric_vehicle|solar"
"hachioji","4","2026-06-08","No","1","energy_saving"
"hadano","4","2026-06-08","No","0",""
"hakodate","12","2026-06-09","No","2","electric_vehicle|solar"
"hakone","4","2026-06-08","No","0",""
"hamamatsu","14","2026-06-10","No","2","electric_vehicle|solar"
"hamura","3","2026-06-08","No","0",""
"hanamaki","2","2026-06-08","No","0",""
"handa","4","2026-06-16","Yes","1","solar"
"hannan","5","2026-06-08","No","0",""
"hanno","4","2026-06-08","No","0",""
"hanyu","6","2026-06-08","No","0",""
"harima","4","2026-06-08","No","0",""
"hashimoto_wakayama","3","2026-06-08","No","0",""
"hasuda","13","2026-06-09","No","2","electric_vehicle|solar"
"hatoyama","3","2026-06-08","No","0",""
"hayama","4","2026-06-08","No","0",""
"hekinan","4","2026-06-16","Yes","0",""
"hidaka","3","2026-06-08","No","0",""
"higashichichibu","3","2026-06-08","No","0",""
"higashihiroshima","12","2026-06-10","No","2","electric_vehicle|solar"
"higashikurume","3","2026-06-08","No","0",""
"higashimatsuyama","4","2026-06-08","No","0",""
"higashimurayama","3","2026-06-08","No","0",""
"higashiomi","3","2026-06-08","No","0",""
"higashiosaka","15","2026-06-10","No","2","electric_vehicle|solar"
"higashiura","3","2026-06-08","No","0",""
"higashiyamato","3","2026-06-08","No","0",""
"hikone","13","2026-06-15","Yes","2","electric_vehicle|solar"
"himeji","14","2026-06-13","Yes","2","electric_vehicle|solar"
"hino","3","2026-06-08","No","0",""
"hinode","3","2026-06-08","No","0",""
"hinohara","4","2026-06-08","No","0",""
"hino_shiga","3","2026-06-08","No","0",""
"hirakata","16","2026-06-10","No","2","electric_vehicle|solar"
"hiratsuka","3","2026-06-08","No","0",""
"hiroshima","6","2026-06-08","No","0",""
"hiroshima_pref","4","2026-06-08","No","0",""
"hitachi","2","2026-06-08","No","0",""
"hitachinaka","2","2026-06-08","No","0",""
"hokkaido","20","2026-06-08","No","0",""
"honjo","14","2026-06-10","No","2","electric_vehicle|solar"
"hyogo_pref","7","2026-06-08","No","0",""
"ibaraki","15","2026-06-10","No","2","electric_vehicle|solar"
"ibaraki_pref","8","2026-06-08","No","0",""
"ichihara","10","2026-06-09","No","2","electric_vehicle|solar"
"ichikawa","12","2026-06-08","No","2","electric_vehicle|solar"
