city_id,市名,都道府県,実装状態,グループ
aomori_city,青森市,青森県,未実装,A
hirosaki,弘前市,青森県,未実装,A
towada,十和田市,青森県,未実装,A
goshogawara,五所川原市,青森県,未実装,A
kuroishi,黒石市,青森県,未実装,A
tsugaru,津軽市,青森県,未実装,A
rokunohe,六戸町,青森県,未実装,A
kuji,久慈市,岩手県,未実装,A
kamaishi_iw,釜石市,岩手県,未実装,A
ofunato,大船渡市,岩手県,未実装,A
yono_iw,遠野市,岩手県,未実装,A
miyako,宮古市,岩手県,未実装,A
yamada,山田町,岩手県,未実装,A
sumita,住田町,岩手県,未実装,A
kasesennuma,気仙沼市,宮城県,未実装,A
ishinomaki_my,石ノ巻市,宮城県,未実装,A
natori_my,名取市,宮城県,未実装,A
kakuda,角田市,宮城県,未実装,A
iwanuma,岩沼市,宮城県,未実装,A
shiogama,塩竈市,宮城県,未実装,A
higashine_mt,東松島市,宮城県,未実装,A
shichigahama,七ケ浜町,宮城県,未実装,A
sapporo_hok,札幌市,北海道,未実装,A
towada_aom,十和田市,青森県,未実装,A
kazo_gm,加須市,群馬県,未実装,A
hanyu,羽生市,埼玉県,未実装,A
kamikawa_h_pk,上峡市,埼玉県,未実装,A
kumagaya_sk,熊谷市,埼玉県,未実装,A
toda_sk,戸田市,埼玉県,未実装,A
koshigaya_sk,越谷市,埼玉県,未実装,A
gyoda_sk,行田市,埼玉県,未実装,A
yoshii,四街道市,千葉県,未実装,A
katsuura,勝浦市,千葉県,未実装,A
tateba,館山市,千葉県,未実装,A
choshi,銚子市,千葉県,未実装,A
kamogawa,鴨川市,千葉県,未実装,A
asahi,旭市,千葉県,未実装,A
midori_chiba,緑市,千葉県,未実装,A
sanmu,山武市,千葉県,未実装,A
katori_chiba,香取市,千葉県,未実装,A
yokosuka_kn,横須賀市,神奈川県,未実装,A
kamakura_kn,鎌倉市,神奈川県,未実装,A
zushi,逗子市,神奈川県,未実装,A
fujisawa_kn,藤沢市,神奈川県,未実装,A
chigasaki,茅ヶ崎市,神奈川県,未実装,A
iwakura,岩倉市,愛知県,未実装,A
inuyama_ay,犬山市,愛知県,未実装,A
takefu,武生市,福井県,未実装,B
sabae_fk,鯖江市,福井県,未実装,B
echizen,越前市,福井県,未実装,B
tsuruga,敦賀市,福井県,未実装,B
kaga,加賀市,石川県,未実装,B
hamada_sh,浜田市,島根県,未実装,B
masuda,益田市,島根県,未実装,B
takayama_gb,高山市,岐阜県,未実装,B
takahashi_ok,高梁市,岡山県,未実装,B
ibara,井原市,岡山県,未実装,B
asakuchi,浅口市,岡山県,未実装,B
onomichi_hr,尾道市,広島県,未実装,B
mihara,三原市,広島県,未実装,B
hatsukaichi,廿日市市,広島県,未実装,B
shobara,庄原市,広島県,未実装,B
yamaguchi_yg,山口市,山口県,未実装,B
simonoseki,下関市,山口県,未実装,B
ube_yg,宇部市,山口県,未実装,B
hofu,防府市,山口県,未実装,B
komatsushima,小松島市,徳島県,未実装,B
kakehashi_hg,掛橋市,兵庫県,未実装,B
isomaki,磯松市,鹿児島県,未実装,C
kirishima_kg,霧島市,鹿児島県,未実装,C
myakonojo_kg,都城市,鹿児島県,未実装,C
aira_kg,姶良市,鹿児島県,未実装,C
shibushi,志布志市,鹿児島県,未実装,C
satsumasendai,薩摩川内市,鹿児島県,未実装,C
minami_sendai,南薩摩市,鹿児島県,未実装,C
urasoe,浦添市,沖縄県,未実装,C
okinawa_city,沖縄市,沖縄県,未実装,C
ginowan,宜野湾市,沖縄県,未実装,C
nanjo,南城市,沖縄県,未実装,C
itoman,糸満市,沖縄県,未実装,C
toyomigaki,豊見城市,沖縄県,未実装,C
