"city_id","articles_count","latest_date","genre_count"
"aioi","5","2026-06-16","1"
"aki_takata","10","2026-06-15","2"
"anjo","13","2026-06-13","2"
"arashiyama","10","2026-06-15","2"
"atsugi","5","2026-06-16","0"
"ayabe","5","2026-06-16","1"
"chigasaki","5","2026-06-16","1"
"chita","4","2026-06-16","0"
"chitose","10","2026-06-13","2"
"ebina","5","2026-06-16","1"
"echizen","10","2026-06-15","2"
"fukuchiyama","5","2026-06-16","1"
"gamagori","4","2026-06-16","0"
"hachimantai","10","2026-06-15","2"
"handa","4","2026-06-16","1"
"hekinan","4","2026-06-16","0"
"hikone","13","2026-06-15","2"
"himeji","14","2026-06-13","2"
"ichinomiya","4","2026-06-16","0"
"imabari","22","2026-06-13","2"
"inashiki","10","2026-06-15","2"
"inazawa","4","2026-06-16","0"
"inuyama","13","2026-06-15","2"
"isehara","3","2026-06-16","0"
"iwakura","13","2026-06-15","2"
"iwamizawa","10","2026-06-13","2"
"izumiotsu","5","2026-06-16","1"
"joso","10","2026-06-15","2"
"kai","1","2026-06-16","0"
"kakogawa","5","2026-06-16","1"
"kamaishi","10","2026-06-15","2"
"kamakura","5","2026-06-16","0"
"kameoka","5","2026-06-16","1"
"kani","10","2026-06-15","2"
"kasama","10","2026-06-15","2"
"kasugai","14","2026-06-15","2"
"kasukabe","5","2026-06-16","0"
"kasumigaura","10","2026-06-15","2"
"kato","5","2026-06-16","0"
"katori","10","2026-06-15","2"
"kesennuma","10","2026-06-13","2"
"kizugawa","5","2026-06-16","1"
"komaki","4","2026-06-16","1"
"komatsu","10","2026-06-15","2"
"komoro","10","2026-06-15","2"
"konan","10","2026-06-15","2"
"kumagaya","14","2026-06-13","2"
"kuroiso","10","2026-06-13","2"
"kusatsu","5","2026-06-16","1"
"kushiro","10","2026-06-13","2"
"maibara","5","2026-06-16","1"
"miki","4","2026-06-16","0"
"minamiawaji","4","2026-06-16","0"
"minamibouso","10","2026-06-15","2"
"mino","10","2026-06-15","2"
"miyazu","4","2026-06-16","0"
"moriguchi","5","2026-06-16","0"
"moriyama_shiga","3","2026-06-15","0"
"muroran","10","2026-06-13","2"
"nagahama","14","2026-06-15","2"
"nantan","4","2026-06-16","0"
"nasukarasuyama","10","2026-06-13","2"
"niihama","10","2026-06-13","2"
"nishiwaki","4","2026-06-16","0"
"obama","10","2026-06-15","2"
"obihiro","10","2026-06-13","2"
"okazaki","15","2026-06-13","2"
"omitama","10","2026-06-15","2"
"ono_hyogo","4","2026-06-16","0"
"otaru","10","2026-06-15","2"
"rikuzentakata","10","2026-06-15","2"
"sabae","10","2026-06-15","2"
"sammu","10","2026-06-15","2"
"sanda","4","2026-06-16","0"
"sasebo","10","2026-06-13","2"
"sayo","4","2026-06-16","0"
"shizuoka","16","2026-06-13","2"
"sumoto","4","2026-06-16","0"
"suzaka","10","2026-06-15","2"
"takahama","13","2026-06-15","2"
"takasago","4","2026-06-16","0"
"takefu","10","2026-06-15","2"
"takizawa","3","2026-06-16","1"
"tanabe","4","2026-06-16","0"
"tateyama","10","2026-06-16","2"
"tomakomai","10","2026-06-13","2"
"tosu","10","2026-06-13","2"
"toyohashi","15","2026-06-13","3"
"tsukubamirai","11","2026-06-16","2"
"tsuruga","10","2026-06-15","2"
"ueda","12","2026-06-15","2"
"ushiku","10","2026-06-13","2"
"wajima","10","2026-06-15","2"
"yokosuka","5","2026-06-16","1"
"yonezawa","10","2026-06-15","2"
