"city_id","articles_count","latest_date","genre_count","days_since_update","genres"
"osaki","2","2026-06-08","0","11",""
"tsuchiura","2","2026-06-08","0","11",""
"ota_gunma","2","2026-06-08","0","11",""
"beppu","2","2026-06-08","0","11",""
"tsuruoka","2","2026-06-08","0","11",""
"hitachi","2","2026-06-08","0","11",""
"hitachinaka","2","2026-06-08","0","11",""
"okinawa_pref","2","2026-06-08","0","11",""
"ogaki","2","2026-06-08","0","11",""
"ryugasaki","2","2026-06-08","0","11",""
"takaoka","2","2026-06-08","0","11",""
"tachikawa","2","2026-06-08","0","11",""
"ehime_pref","2","2026-06-08","0","11",""
"tochigi_city","2","2026-06-08","0","11",""
"suzuka","2","2026-06-08","0","11",""
"hanamaki","2","2026-06-08","0","11",""
"sakata","2","2026-06-08","0","11",""
"shinjuku","2","2026-06-08","0","11",""
"shimonoseki","2","2026-06-08","0","11",""
"ninomiya","2","2026-06-08","0","11",""
"yokkaichi","2","2026-06-08","0","11",""
"kumamoto_pref","2","2026-06-08","0","11",""
"yatsushiro","2","2026-06-08","0","11",""
"kuwana","2","2026-06-08","0","11",""
"konan_aichi","2","2026-06-08","0","11",""
"kitakami","2","2026-06-08","0","11",""
"kiryu","2","2026-06-08","0","11",""
"kashima","2","2026-06-08","0","11",""
"kitanagoya","2","2026-06-08","0","11",""
"kirishima","2","2026-06-08","0","11",""
"nagasaki_pref","2","2026-06-08","0","11",""
"ishinomaki","2","2026-06-08","0","11",""
"nakatsu","2","2026-06-08","0","11",""
"iida","2","2026-06-08","0","11",""
"miyakonojo","2","2026-06-08","0","11",""
"mitaka","2","2026-06-08","0","11",""
"marugame","2","2026-06-08","0","11",""
"ama","2","2026-06-08","0","11",""
"iwaki","2","2026-06-08","0","11",""
"adachi","2","2026-06-08","1","11","solar"
"yamatokoriyama","3","2026-06-08","0","11",""
"miyashiro","3","2026-06-08","0","11",""
"yamatotakada","3","2026-06-08","0","11",""
"miyazaki_pref","3","2026-06-08","0","11",""
"mizuho","3","2026-06-08","0","11",""
"miyoshi_machi","3","2026-06-08","0","11",""
"miyoshi","3","2026-06-08","0","11",""
"miyagi_pref","3","2026-06-08","0","11",""
"minoh","3","2026-06-08","0","11",""
"minato_ku","3","2026-06-08","0","11",""
