city_id,市名,都道府県,実装状態,グループ,人口順位
sapporo,札幌市,北海道,実装済,,1
asahikawa,旭川市,北海道,実装済,,60
hakodate,函館市,北海道,実装済,,85
tomakomai,苫小牧市,北海道,実装済,,135
obihiro,帯広市,北海道,実装済,,155
muroran,室蘭市,北海道,実装済,,185
iwamizawa,岩見沢市,北海道,実装済,,210
chitose,千歳市,北海道,実装済,,215
kitami,北見市,北海道,未実装,グループ1,130
yubari,夕張市,北海道,未実装,グループ1,301
nayoro,名寄市,北海道,未実装,グループ1,265
mikasa,美唄市,北海道,未実装,グループ1,285
rumoi,留萌市,北海道,未実装,グループ1,295
takikawa,滝川市,北海道,未実装,グループ1,260
sunagawa,砂川市,北海道,未実装,グループ1,280
utashinai,歌志内市,北海道,未実装,グループ1,310
furano,富良野市,北海道,未実装,グループ1,240
ashibetsu,芦別市,北海道,未実装,グループ1,300
nemuro,根室市,北海道,未実装,グループ1,290
otaru,小樽市,北海道,実装済,,110
aomori,青森市,青森県,実装済,,270
hachinohe,八戸市,青森県,実装済,,205
hirosaki,弘前市,青森県,未実装,グループ1,175
goshogawara,五所川原市,青森県,未実装,グループ1,250
towada,十和田市,青森県,未実装,グループ1,255
tsugaru,津軽市,青森県,未実装,グループ1,275
kuroishi,黒石市,青森県,未実装,グループ1,288
morioka,盛岡市,岩手県,実装済,,185
miyako,宮古市,岩手県,未実装,グループ1,255
rikuzentakata,陸前高田市,岩手県,実装済,,310
kamaishi,釜石市,岩手県,実装済,,290
kitakami,北上市,岩手県,実装済,,195
oshu,奥州市,岩手県,未実装,グループ1,185
ichinoseki,一関市,岩手県,未実装,グループ1,190
kuji,久慈市,岩手県,未実装,グループ1,275
tono,遠野市,岩手県,未実装,グループ1,285
hanamaki,花巻市,岩手県,実装済,,235
hachimantai,八幡平市,岩手県,実装済,,280
takizawa,滝沢市,岩手県,実装済,,200
sendai,仙台市,宮城県,実装済,,5
shiogama,塩竈市,宮城県,未実装,グループ1,255
natori,名取市,宮城県,未実装,グループ1,165
kakuda,角田市,宮城県,未実装,グループ1,280
