city_id,市名,都道府県,実装状態
hokkaido,札幌市,北海道,実装済
asahikawa,旭川市,北海道,実装済
hakodate,函館市,北海道,実装済
sapporo,札幌市,北海道,実装済
tomakomai,苫小牧市,北海道,実装済
kushiro,釧路市,北海道,実装済
obihiro,帯広市,北海道,実装済
asahikawa2,旭川市,北海道,実装済
muroran,室蘭市,北海道,実装済
iwamizawa,岩見沢市,北海道,実装済
chitose,千歳市,北海道,実装済
takikawa,滝川市,北海道,実装済
sunagawa,砂川市,北海道,実装済
ebetsu,恵庭市,北海道,未実装
rumoi,留萌市,北海道,未実装
tsurui,津別町,北海道,未実装
kihara,雨竜町,北海道,未実装
shimo,下川町,北海道,未実装
aibetsu,愛別町,北海道,未実装
hokuryu,北竜町,北海道,未実装
ainomoto,音更町,北海道,未実装
kyowa,共和町,北海道,未実装
nanporo,南幌町,北海道,未実装
mitsu,水上町,北海道,未実装
aomori,青森市,青森県,実装済
hirosaki,弘前市,青森県,未実装
hachinohe,八戸市,青森県,実装済
goshogawara,五所川原市,青森県,未実装
towada,十和田市,青森県,未実装
tsugaru,つがる市,青森県,未実装
kuroishi,黒石市,青森県,未実装
inakadate,稲作村,青森県,未実装
iwaki,岩木町,青森県,未実装
fukaura,深浦町,青森県,未実装
nishimeya,西目屋村,青森県,未実装
chiyoda,千代田区,東京都,実装済
nishi_ku,西区,北海道,未実装
tachikawa,立川市,東京都,実装済
machida,町田市,東京都,実装済
hachioji,八王子市,東京都,実装済
yokohama,横浜市,神奈川県,実装済
kawasaki,川崎市,神奈川県,実装済
sagamihara,相模原市,神奈川県,実装済
atsugi,厚木市,神奈川県,実装済
yamato,大和市,神奈川県,実装済
chiba,千葉市,千葉県,実装済
funabashi,船橋市,千葉県,実装済
matsudo,松戸市,千葉県,実装済
ichikawa,市川市,千葉県,実装済
kashiwa,柏市,千葉県,実装済
kisarazu,木更津市,千葉県,実装済
narita,成田市,千葉県,実装済
tsukuba,つくば市,茨城県,実装済
mito,水戸市,茨城県,実装済
nagoya,名古屋市,愛知県,実装済
toyota,豊田市,愛知県,実装済
kanayama,金山市,愛知県,未実装
kyoto,京都市,京都府,実装済
osaka,大阪市,大阪府,実装済
kobe,神戸市,兵庫県,実装済
hiroshima,広島市,広島県,実装済
kitakyushu,北九州市,福岡県,実装済
fukuoka,福岡市,福岡県,実装済
kumamoto,熊本市,熊本県,実装済
sendai,仙台市,宮城県,実装済
niigata,新潟市,新潟県,実装済
saitama,さいたま市,埼玉県,実装済
kawagoe,川越市,埼玉県,実装済
kawaguchi,川口市,埼玉県,実装済
utsunomiya,宇都宮市,栃木県,実装済
maebashi,前橋市,群馬県,実装済
kofu,甲府市,山梨県,実装済
nagano,長野市,長野県,実装済
shizuoka,静岡市,静岡県,実装済
hamamatsu,浜松市,静岡県,実装済
tsu,津市,三重県,実装済
otsu,大津市,滋賀県,実装済
wakayama,和歌山市,和歌山県,実装済
okayama,岡山市,岡山県,実装済
takamatsu,高松市,香川県,実装済
matsuyama,松山市,愛媛県,実装済
kochi,高知市,高知県,実装済
nagasaki,長崎市,長崎県,実装済
saga,佐賀市,佐賀県,未実装
miyazaki,宮崎市,宮崎県,実装済
kagoshima,鹿児島市,鹿児島県,実装済
naha,那覇市,沖縄県,実装済
aomori_pref,青森県,青森県,都道府県
hokkaido,北海道,北海道,都道府県
iwate_pref,岩手県,岩手県,都道府県
miyagi_pref,宮城県,宮城県,都道府県
akita_pref,秋田県,秋田県,都道府県
yamagata_pref,山形県,山形県,都道府県
fukushima_pref,福島県,福島県,都道府県
ibaraki_pref,茨城県,茨城県,都道府県
tochigi_pref,栃木県,栃木県,都道府県
gunma_pref,群馬県,群馬県,都道府県
saitama_pref,埼玉県,埼玉県,都道府県
chiba_pref,千葉県,千葉県,都道府県
tokyo,東京都,東京都,都道府県
kanagawa_pref,神奈川県,神奈川県,都道府県
niigata_pref,新潟県,新潟県,都道府県
toyama_pref,富山県,富山県,都道府県
ishikawa_pref,石川県,石川県,都道府県
fukui_pref,福井県,福井県,都道府県
yamanashi_pref,山梨県,山梨県,都道府県
nagano_pref,長野県,長野県,都道府県
gifu_pref,岐阜県,岐阜県,都道府県
aichi_pref,愛知県,愛知県,都道府県
mie_pref,三重県,三重県,都道府県
shiga_pref,滋賀県,滋賀県,都道府県
kyoto_pref,京都府,京都府,都道府県
osaka_pref,大阪府,大阪府,都道府県
hyogo_pref,兵庫県,兵庫県,都道府県
nara_pref,奈良県,奈良県,都道府県
wakayama_pref,和歌山県,和歌山県,都道府県
tottori_pref,鳥取県,鳥取県,都道府県
shimane_pref,島根県,島根県,都道府県
okayama_pref,岡山県,岡山県,都道府県
hiroshima_pref,広島県,広島県,都道府県
yamaguchi_pref,山口県,山口県,都道府県
tokushima_pref,徳島県,徳島県,都道府県
kagawa_pref,香川県,香川県,都道府県
ehime_pref,愛媛県,愛媛県,都道府県
kochi_pref,高知県,高知県,都道府県
fukuoka_pref,福岡県,福岡県,都道府県
saga_pref,佐賀県,佐賀県,都道府県
nagasaki_pref,長崎県,長崎県,都道府県
kumamoto_pref,熊本県,熊本県,都道府県
oita_pref,大分県,大分県,都道府県
miyazaki_pref,宮崎県,宮崎県,都道府県
kagoshima_pref,鹿児島県,鹿児島県,都道府県
okinawa_pref,沖縄県,沖縄県,都道府県
