"city_id","city_name_ja","current_files","status","priority"
"hino","hino","3","enriched","1"
"hinode","hinode","3","enriched","1"
"sakurai_nara","sakurai_nara","3","enriched","1"
"higashiyamato","higashiyamato","3","enriched","1"
"oyamazaki","oyamazaki","3","enriched","1"
"inagi","inagi","3","enriched","1"
"moriyama_shiga","moriyama_shiga","3","enriched","1"
"hino_shiga","hino_shiga","3","enriched","1"
"osaka_sayama","osaka_sayama","3","enriched","1"
"hamura","hamura","3","enriched","1"
"fussa","fussa","3","enriched","1"
"akishima","akishima","3","enriched","1"
"hashimoto_wakayama","hashimoto_wakayama","3","enriched","1"
"higashimurayama","higashimurayama","3","enriched","1"
"higashikurume","higashikurume","3","enriched","1"
"okutama","okutama","4","enriched","1"
"konan_shiga","konan_shiga","4","enriched","1"
"kumiyama","kumiyama","4","enriched","1"
"yosano","yosano","4","enriched","1"
"tama","tama","4","enriched","1"
"ono_hyogo","ono_hyogo","4","enriched","1"
"yoshino_nara","yoshino_nara","4","enriched","1"
"komae","komae","4","enriched","1"
"inami_hyogo","inami_hyogo","4","enriched","1"
"hinohara","hinohara","4","enriched","1"
"kokubunji","kokubunji","4","enriched","1"
"kodaira","kodaira","4","enriched","1"
"musashimurayama","musashimurayama","5","enriched","1"
"ayabe","ayabe","5","enriched","1"
"mizuho","mizuho","5","enriched","1"
"fukuchiyama","fukuchiyama","5","enriched","1"
"kyoto","kyoto","6","enriched","1"
"hiroshima","hiroshima","6","enriched","1"
"kunitachi","kunitachi","7","enriched","1"
"okayama","okayama","8","enriched","1"
"kiyose","kiyose","8","enriched","1"
"ome","ome","8","enriched","1"
"higashiosaka","higashiosaka","15","template_only","1"
"higashihiroshima","higashihiroshima","12","enriched","2"
"yamaguchi","yamaguchi","12","enriched","2"
"tottori","tottori","13","enriched","2"
"kochi","kochi","13","enriched","2"
"tokushima","tokushima","13","enriched","2"
"nara","nara","15","enriched","2"
"wakayama","wakayama","15","enriched","2"
"osaka","osaka","24","enriched","3"
"tokyo","tokyo","52","enriched","3"
