"city_id","city_name_ja","current_files","status","priority"
"sakurai_nara","桜井市の太陽光・蓄電池補助金","3","enriched","1"
"moriyama_shiga","守山市の太陽光・蓄電池補助金","3","enriched","1"
"hino_shiga","日野町（滋賀）の太陽光・蓄電池補助金","3","enriched","1"
"osaka_sayama","大阪狭山市で創業すると工事・広告費の半額・最大20万円（市内業者発注なら30万円）補助","3","enriched","1"
"hashimoto_wakayama","橋本市（和歌山）の太陽光・蓄電池補助金","3","enriched","1"
"konan_shiga","湖南市の太陽光・蓄電池補助金","4","enriched","1"
"kumiyama","久御山町の太陽光・蓄電池補助金｜京都府補助制度が利用可能","4","enriched","1"
"yosano","与謝野町の太陽光・蓄電池補助金｜京都府補助制度が利用可能","4","enriched","1"
"ono_hyogo","小野市｜住宅用太陽光発電・蓄電池補助金","4","enriched","1"
"yoshino_nara","吉野町の移住補助金｜山里への定住促進","4","enriched","1"
"inami_hyogo","稲美町の移住定住補助金｜住宅取得・改修費を支援","4","enriched","1"
"ayabe","綾部市の移住支援金｜世帯100万円・京都府支援金対象","5","enriched","1"
"fukuchiyama","福知山市の移住支援金｜京都府支援金100万円＋市独自補助","5","enriched","1"
"kyoto","京都市の子育て世帯住宅取得補助金｜最大200万円","6","enriched","1"
"hiroshima","広島市｜住宅団地の空き家リフォーム補助（子育て世帯・最大50万円）","6","enriched","1"
"okayama","岡山市｜木造住宅耐震改修補助（全面改修最大115万円・部分改修最大80万円）令和8年11月まで","8","enriched","1"
"higashihiroshima","東広島市｜木造住宅耐震改修補助（23%・最大30万円）耐震診断補助も別途あり","12","enriched","2"
"yamaguchi","山口市｜木造住宅耐震改修補助（工事費80%・最大115万円）耐震診断も無料","12","enriched","2"
"kochi","高知市｜木造住宅耐震改修補助（設計20.5万円＋工事費8割・最大125万円）令和8年度受付中","13","enriched","2"
"tokushima","徳島市｜木造住宅耐震改修補助（最大120万円）感震ブレーカー加算・耐震シェルターも選べる","13","enriched","2"
"tottori","鳥取市｜木造住宅耐震改修補助（工事費80%・最大140万円）令和8年5月受付開始","13","enriched","2"
"nara","奈良市の子育て支援補助金｜医療費・保育","15","enriched","2"
"wakayama","和歌山市の子育て支援補助金｜医療費・保育","15","enriched","2"
"higashiosaka","東大阪市の危険な空き家を解体すると最大100万円の補助","15","template_only","2"
"osaka","大阪市の障がい児通所事業所に設備費最大10万円補助！性被害防止対策支援事業を見逃すな","24","enriched","3"
