city_id,市名,都道府県,実装状態,グループ
aomori_new,青森市,青森県,未実装,A
hachinohe,八戸市,青森県,未実装,A
hirosaki,弘前市,青森県,未実装,A
towada,十和田市,青森県,未実装,A
goshogawara,五所川原市,青森県,未実装,A
kuroishi,黒石市,青森県,未実装,A
tsugaru,津軽市,青森県,未実装,A
goshogawara_2,五所川原市,青森県,未実装,A
kuji,久慈市,岩手県,未実装,A
kamaishi,釜石市,岩手県,未実装,A
rikuzentakata,陸前高田市,岩手県,未実装,A
ofunato,大船渡市,岩手県,未実装,A
hachimantai,八幡平市,岩手県,未実装,A
oshu,奥州市,岩手県,未実装,A
yono,遠野市,岩手県,未実装,A
miyako,宮古市,岩手県,未実装,A
shiwa,紫波町,岩手県,未実装,A
morioka_new,盛岡市,岩手県,未実装,A
kesennuma,気仙沼市,宮城県,未実装,A
ishinomaki,石ノ巻市,宮城県,未実装,A
natori,名取市,宮城県,未実装,A
kakuda,角田市,宮城県,未実装,A
iwanuma,岩沼市,宮城県,未実装,A
shiogama,塩竈市,宮城県,未実装,A
higashine,東松島市,宮城県,未実装,A
miyako_miya,宮城市,宮城県,未実装,A
kurokawa,黒川市,宮城県,未実装,A
yamamoto,山元町,宮城県,未実装,A
shichigahama,七ケ浜町,宮城県,未実装,A
saitama_new,さいたま市,埼玉県,未実装,A
kazo,加須市,埼玉県,未実装,A
tateba,館林市,埼玉県,未実装,A
honjo_saitama,本庄市,埼玉県,未実装,A
kazo_2,加須市,埼玉県,未実装,A
satte,幸手市,埼玉県,未実装,A
hachioji_saitama,八潮市,埼玉県,未実装,A
tsurugashima,鶴ヶ島市,埼玉県,未実装,A
fujimi_saitama,富士見市,埼玉県,未実装,A
kumagaya,熊谷市,埼玉県,未実装,A
koshigaya,越谷市,埼玉県,未実装,A
toda,戸田市,埼玉県,未実装,A
nagareyama,流山市,埼玉県,未実装,A
funabashi,船橋市,千葉県,未実装,A
matsudo,松戸市,千葉県,未実装,A
chiba_city,千葉市,千葉県,未実装,A
kisarazu,木更津市,千葉県,未実装,A
ichihara,市原市,千葉県,未実装,A
ichikawa,市川市,千葉県,未実装,A
kimitsu,君津市,千葉県,未実装,A
sakura_chiba,佐倉市,千葉県,未実装,A
narita,成田市,千葉県,未実装,A
katsura,勝浦市,千葉県,未実装,A
yasaka,八街市,千葉県,未実装,A
kamogawa,鴨川市,千葉県,未実装,A
asahi_chiba,旭市,千葉県,未実装,A
choshi,銚子市,千葉県,未実装,A
tateba_chiba,館山市,千葉県,未実装,A
kimino,木更津市,千葉県,未実装,A
yotsukaido,八千代市,千葉県,未実装,A
midori,緑市,千葉県,未実装,A
katori,香取市,千葉県,未実装,A
sammu,山武市,千葉県,未実装,A
toride,取手市,千葉県,未実装,A
tsukubamirai,つくばみらい市,茨城県,未実装,A
kasama,笠間市,茨城県,未実装,A
omitama,小美玉市,茨城県,未実装,A
inashiki,稲敷市,茨城県,未実装,A
kasumigaura,霞ヶ浦市,茨城県,未実装,A
ryugasaki,龍ケ崎市,茨城県,未実装,A
hitachinaka,日立市,茨城県,未実装,A
tsuchiura,土浦市,茨城県,未実装,A
joso,常総市,茨城県,未実装,A
takahama_ibaraki,高萩市,茨城県,未実装,A
wakayama_kanagawa,横須賀市,神奈川県,未実装,A
hiratsuka,平塚市,神奈川県,未実装,A
odawara_kanagawa,小田原市,神奈川県,未実装,A
sagamihara,相模原市,神奈川県,未実装,A
atsugi,厚木市,神奈川県,未実装,A
isehara,伊勢原市,神奈川県,未実装,A
minamiashigara,南足柄市,神奈川県,未実装,A
yamato,大和市,神奈川県,未実装,A
ebina,海老名市,神奈川県,未実装,A
zama,座間市,神奈川県,未実装,A
iwatamaki,磐田市,静岡県,未実装,B
kakegawa,掛川市,静岡県,未実装,B
gotemba,御殿場市,静岡県,未実装,B
fujieda,藤枝市,静岡県,未実装,B
shimada,島田市,静岡県,未実装,B
yaizu,焼津市,静岡県,未実装,B
mori,森町,静岡県,未実装,B
sumpu,駿府市,静岡県,未実装,B
izu,伊豆市,静岡県,未実装,B
kawanehon,川根本町,静岡県,未実装,B
sukumo,須崎市,高知県,未実装,B
kochi,高知市,高知県,未実装,B
nanoku,南国市,高知県,未実装,B
konan_kochi,香南市,高知県,未実装,B
tosashimizu,土佐清水市,高知県,未実装,B
tosa,土佐市,高知県,未実装,B
akutsu,安芸市,高知県,未実装,B
doma,土佐町,高知県,未実装,B
agawa,佐川町,高知県,未実装,B
kita,北川村,高知県,未実装,B
yakatsu,やるべき市,高知県,未実装,B
shimotsu,下土佐郡,高知県,未実装,B
tottori_city,鳥取市,鳥取県,未実装,B
yonago,米子市,鳥取県,未実装,B
kurayoshi,倉吉市,鳥取県,未実装,B
kotoura,琴浦町,鳥取県,未実装,B
iwami,石見市,島根県,未実装,B
masuda,益田市,島根県,未実装,B
hamada,浜田市,島根県,未実装,B
tsuwano,津和野町,島根県,未実装,B
gotsu,江津市,島根県,未実装,B
onan,大南市,島根県,未実装,B
asaminami,朝日南市,広島県,未実装,B
onomichi,尾道市,広島県,未実装,B
mihara,三原市,広島県,未実装,B
hatsukaichi,廿日市市,広島県,未実装,B
tamaki,玉木町,広島県,未実装,B
sanyo,山陽市,広島県,未実装,B
miyakonojo_2,都城市,宮崎県,未実装,B
nobeoka,延岡市,宮崎県,未実装,B
miyazaki_city,宮崎市,宮崎県,未実装,B
kobayashi,小林市,宮崎県,未実装,B
nichinan,日南市,宮崎県,未実装,B
hyuga,日向市,宮崎県,未実装,B
taketa,竹田市,大分県,未実装,B
usuki,臼杵市,大分県,未実装,B
hiji,日田市,大分県,未実装,B
tosashimizu_2,土佐清水市,大分県,未実装,B
saita,佐伯市,大分県,未実装,B
bungo,豊後市,大分県,未実装,B
yatsushiro,八代市,熊本県,未実装,B
tamana,玉名市,熊本県,未実装,B
kasuga,春日市,熊本県,未実装,B
arao,荒尾市,熊本県,未実装,B
yamaga,山鹿市,熊本県,未実装,B
amakusa,天草市,熊本県,未実装,B
minamata,水俣市,熊本県,未実装,B
sagaki,相賀市,熊本県,未実装,B
uki,宇城市,熊本県,未実装,B
imakita,今北市,熊本県,未実装,B
karatsu,唐津市,佐賀県,未実装,B
imari,伊万里市,佐賀県,未実装,B
takeo,武雄市,佐賀県,未実装,B
ureshino,嬉野市,佐賀県,未実装,B
ogi,小城市,佐賀県,未実装,B
isahaya,諫早市,長崎県,未実装,B
omura,大村市,長崎県,未実装,B
shimabara,島原市,長崎県,未実装,B
minamitakaki,南高来市,長崎県,未実装,B
matsuura,松浦市,長崎県,未実装,B
sasebo_2,佐世保市,長崎県,未実装,B
tsushima,対馬市,長崎県,未実装,B
goto,五島市,長崎県,未実装,B
nagasaki_city,長崎市,長崎県,未実装,C
iyo,伊予市,愛媛県,未実装,C
manyo,万葉市,愛媛県,未実装,C
ozu,鬼北町,愛媛県,未実装,C
uwajima,宇和島市,愛媛県,未実装,C
komatsu_ehime,小松島市,愛媛県,未実装,C
saijo_ehime,西条市,愛媛県,未実装,C
yawatahama,八幡浜市,愛媛県,未実装,C
niihama,新居浜市,愛媛県,未実装,C
kaita,海田市,愛媛県,未実装,C
matsume,松前市,愛媛県,未実装,C
akagi,赤木市,愛媛県,未実装,C
takeo_saga,武雄市,佐賀県,未実装,C
takayama,高山市,岐阜県,未実装,C
takayama_2,高山市,岐阜県,未実装,C
mino,美濃市,岐阜県,未実装,C
